id,user_id,product_id,created_at,updated_at
4732,668,12256,2023-03-11 16:59:16,2023-03-11 16:59:16
4733,668,12267,2023-03-11 17:01:59,2023-03-11 17:01:59
4734,668,12273,2023-03-11 17:02:25,2023-03-11 17:02:25
4735,668,12287,2023-03-11 17:03:39,2023-03-11 17:03:39
4736,668,12303,2023-03-11 17:04:41,2023-03-11 17:04:41
4737,668,12322,2023-03-11 17:07:44,2023-03-11 17:07:44
4738,668,12386,2023-03-11 17:09:17,2023-03-11 17:09:17
4739,668,12513,2023-03-11 17:14:38,2023-03-11 17:14:38
4740,668,12554,2023-03-11 17:19:09,2023-03-11 17:19:09
4741,668,12605,2023-03-11 17:21:32,2023-03-11 17:21:32
4742,668,12658,2023-03-11 17:24:43,2023-03-11 17:24:43
4743,668,12701,2023-03-11 17:26:50,2023-03-11 17:26:50
4744,668,12724,2023-03-11 17:27:42,2023-03-11 17:27:42
4745,668,12768,2023-03-11 17:29:57,2023-03-11 17:29:57
4747,1131,12417,2023-03-15 06:42:50,2023-03-15 06:42:50
4752,4595,10371,2023-03-17 22:44:02,2023-03-17 22:44:02
4753,2786,354,2023-03-20 05:49:31,2023-03-20 05:49:31
4754,2786,2792,2023-03-20 05:54:41,2023-03-20 05:54:41
4755,4823,446,2023-03-20 20:25:59,2023-03-20 20:25:59
4756,1201,11653,2023-03-22 15:27:44,2023-03-22 15:27:44
4757,1201,11655,2023-03-22 15:28:49,2023-03-22 15:28:49
4758,1201,11662,2023-03-22 15:29:05,2023-03-22 15:29:05
4759,1201,11664,2023-03-22 15:29:32,2023-03-22 15:29:32
4760,1201,388,2023-03-22 15:32:47,2023-03-22 15:32:47
4761,1201,9643,2023-03-22 15:33:38,2023-03-22 15:33:38
4762,1201,562,2023-03-22 15:34:56,2023-03-22 15:34:56
4763,1201,10299,2023-03-22 15:38:20,2023-03-22 15:38:20
4764,1201,12261,2023-03-22 15:39:30,2023-03-22 15:39:30
4765,1201,11380,2023-03-22 15:39:35,2023-03-22 15:39:35
4766,1201,12192,2023-03-22 15:39:52,2023-03-22 15:39:52
4767,4778,9974,2023-03-24 14:58:46,2023-03-24 14:58:46
4768,4778,9315,2023-03-24 14:58:49,2023-03-24 14:58:49
